model_family,latent_dim,target,arm,mae,r2
unconditional_vae,3,n_submovements_sd,latent_probe,0.1374844560328279,-0.2797697623841154
unconditional_vae,3,path_length_mean,development_constant,0.3690595943775106,-0.25916971379885756
unconditional_vae,3,path_length_mean,direct_context,0.16235443379203612,0.42588662239596453
unconditional_vae,3,path_length_mean,latent_probe,0.3704762085336604,-0.279738527804916
unconditional_vae,3,path_length_sd,development_constant,0.672800730643301,-0.09305006053037967
unconditional_vae,3,path_length_sd,direct_context,0.43754868935823765,0.03083011909391009
unconditional_vae,3,path_length_sd,latent_probe,0.6756884347083337,-0.09427623729930439
unconditional_vae,3,peak_speed_tracker_units_s_mean,development_constant,11.875679048106917,-0.031971228408443464
unconditional_vae,3,peak_speed_tracker_units_s_mean,direct_context,1.734399404616129,0.9760682559025359
unconditional_vae,3,peak_speed_tracker_units_s_mean,latent_probe,8.131935752692904,0.34248661891931986
unconditional_vae,3,peak_speed_tracker_units_s_sd,development_constant,2.646218813161273,-0.08942194549115734
unconditional_vae,3,peak_speed_tracker_units_s_sd,direct_context,1.7073778429041588,0.4666787750204573
unconditional_vae,3,peak_speed_tracker_units_s_sd,latent_probe,2.587029645737264,-0.09166206723570151
unconditional_vae,8,curvature_index_mean,development_constant,0.015715778847694335,-0.19878522204786497
unconditional_vae,8,curvature_index_mean,direct_context,0.008086585024790609,0.10352986469617198
unconditional_vae,8,curvature_index_mean,latent_probe,0.015336651375777713,-0.18630710928634012
unconditional_vae,8,curvature_index_sd,development_constant,0.054119437963674,-0.1235650321086268
unconditional_vae,8,curvature_index_sd,direct_context,0.039296494581096485,-0.11614150886887198
unconditional_vae,8,curvature_index_sd,latent_probe,0.05450200340731191,-0.14056024006201842
unconditional_vae,8,initiation_time_s_mean,development_constant,0.03038119246223941,-0.11572525170944692
unconditional_vae,8,initiation_time_s_mean,direct_context,0.009274765744360845,0.9115361719368679
unconditional_vae,8,initiation_time_s_mean,latent_probe,0.01717267648129049,0.6006751181401249
unconditional_vae,8,initiation_time_s_sd,development_constant,0.01402803906771552,-0.046102410308510366
unconditional_vae,8,initiation_time_s_sd,direct_context,0.010928194745774574,0.4049732329750291
unconditional_vae,8,initiation_time_s_sd,latent_probe,0.014601645452812397,-0.04361036912159614
unconditional_vae,8,max_lateral_deviation_mean,development_constant,0.2138667539729581,-0.1138153861432658
unconditional_vae,8,max_lateral_deviation_mean,direct_context,0.03830300779219764,0.9628798991285201
unconditional_vae,8,max_lateral_deviation_mean,latent_probe,0.17092485782426517,0.1980957063409139
unconditional_vae,8,max_lateral_deviation_sd,development_constant,0.10394045872296069,-0.2153357528484987
unconditional_vae,8,max_lateral_deviation_sd,direct_context,0.06695761603826796,0.27222326617259407
unconditional_vae,8,max_lateral_deviation_sd,latent_probe,0.10035738320403849,-0.22186916821506034
unconditional_vae,8,movement_time_s_mean,development_constant,0.048762006937175216,-0.09447728304811642
unconditional_vae,8,movement_time_s_mean,direct_context,0.011049426775781449,0.924468009833891
unconditional_vae,8,movement_time_s_mean,latent_probe,0.03539436353075102,0.19974631647027077
unconditional_vae,8,movement_time_s_sd,development_constant,0.03244078483683542,-0.10032126529847196
unconditional_vae,8,movement_time_s_sd,direct_context,0.027879019640692417,0.016574899146142075
unconditional_vae,8,movement_time_s_sd,latent_probe,0.03294536617983965,-0.11143168402020558
unconditional_vae,8,n_submovements_mean,development_constant,0.06645986803327505,-0.23439231723011722
unconditional_vae,8,n_submovements_mean,direct_context,0.021629173314821646,0.8830840832761294
unconditional_vae,8,n_submovements_mean,latent_probe,0.06664379715419867,-0.2619764081303706
unconditional_vae,8,n_submovements_sd,development_constant,0.13441114364911505,-0.2821818991505536
unconditional_vae,8,n_submovements_sd,direct_context,0.07928217167560737,0.49718905993137713
unconditional_vae,8,n_submovements_sd,latent_probe,0.1360625535751331,-0.2790348076615656
unconditional_vae,8,path_length_mean,development_constant,0.3690595943775106,-0.25916971379885756
