model_family,latent_dim,seed,fold,subject,feature_view,n_features,mean_ks,energy_distance,mmd_rbf,reproduction_error
cvae,3,43,0,subject19,original,11,0.18333333333333332,0.2763996147518242,0.05257798481458176,8.326672684688674e-17
cvae,3,43,0,subject19,reduced,9,0.20709876543209876,0.2899942525440591,0.0654132110740997,0.0
cvae,3,43,0,subject24,original,11,0.18434343434343436,0.16722408772651054,0.02196330857096429,9.020562075079397e-17
cvae,3,43,0,subject24,reduced,9,0.17962962962962964,0.13068986350249245,0.021584200848586033,0.0
cvae,3,43,0,subject27,original,11,0.2808080808080808,0.8963554270289675,0.18418034678633965,7.806255641895632e-17
cvae,3,43,0,subject27,reduced,9,0.31327160493827155,0.9541532119784373,0.22169784954468008,0.0
cvae,3,43,0,subject34,original,11,0.28434343434343434,0.6355519242159495,0.11793110885728653,8.326672684688674e-17
cvae,3,43,0,subject34,reduced,9,0.26358024691358023,0.4469033382254466,0.09762349010418958,0.0
cvae,3,43,0,subject35,original,11,0.21367159971811134,0.4221003360531048,0.07279427991741083,8.326672684688674e-17
cvae,3,43,0,subject35,reduced,9,0.22695951765719208,0.4113068992121369,0.07927995141337174,0.0
cvae,3,44,0,subject05,original,11,0.3015151515151515,0.7051327021082758,0.14142034148264637,8.326672684688674e-17
cvae,3,44,0,subject05,reduced,9,0.2993827160493827,0.7158462162414119,0.17400113134527673,0.0
cvae,3,44,0,subject13,original,11,0.17095959595959595,0.15557625888232485,0.021130924106786853,8.326672684688674e-17
cvae,3,44,0,subject13,reduced,9,0.16604938271604938,0.12713945164450413,0.025258390976607537,0.0
cvae,3,44,0,subject19,original,11,0.21085858585858588,0.26703949987098685,0.054337280522061215,8.326672684688674e-17
cvae,3,44,0,subject19,reduced,9,0.2382716049382716,0.27488514206879033,0.06327061050296301,0.0
cvae,3,44,0,subject24,original,11,0.16919191919191917,0.1643765857967492,0.023103145604281727,8.326672684688674e-17
cvae,3,44,0,subject24,reduced,9,0.17623456790123457,0.15697808583515194,0.028338188056352354,0.0
cvae,3,44,0,subject27,original,11,0.2825757575757576,0.8590584927064868,0.17606764726203028,9.71445146547012e-17
cvae,3,44,0,subject27,reduced,9,0.29907407407407405,0.8861525457506896,0.203349692489189,0.0
cvae,3,44,0,subject34,original,11,0.271969696969697,0.6012716444185573,0.10936140645685033,5.551115123125783e-17
cvae,3,44,0,subject34,reduced,9,0.2555555555555556,0.4579162467951603,0.09996845002892607,0.0
cvae,3,44,0,subject35,original,11,0.19529598308668075,0.37101138286862323,0.06121706587592646,8.673617379884035e-17
cvae,3,44,0,subject35,reduced,9,0.21955211024978466,0.38632660435762567,0.07129426307040432,0.0
cvae,8,42,0,subject05,original,11,0.2535353535353535,0.3572152924764911,0.07043738692280033,8.326672684688674e-17
cvae,8,42,0,subject05,reduced,9,0.24290123456790122,0.29967244068150256,0.06787759743493416,0.0
cvae,8,42,0,subject13,original,11,0.19141414141414143,0.22150024916091615,0.034132546834857,5.551115123125783e-17
cvae,8,42,0,subject13,reduced,9,0.1765432098765432,0.12786771890569337,0.02347048436408916,0.0
cvae,8,42,0,subject19,original,11,0.16767676767676767,0.14529063921965069,0.02046471097237723,8.326672684688674e-17
cvae,8,42,0,subject19,reduced,9,0.16481481481481483,0.11186507615820052,0.019696510761930686,0.0
cvae,8,42,0,subject24,original,11,0.16540404040404041,0.13703543418860464,0.013491526709067059,8.326672684688674e-17
cvae,8,42,0,subject24,reduced,9,0.15925925925925927,0.10711610116336301,0.011909225243558419,0.0
cvae,8,42,0,subject27,original,11,0.23560606060606062,0.5149497715074669,0.10199763664981432,8.847089727481716e-17
cvae,8,42,0,subject27,reduced,9,0.25679012345679014,0.5604884804540662,0.12674164425913115,0.0
cvae,8,42,0,subject34,original,11,0.2578282828282828,0.5572206164930722,0.09881730164222968,8.326672684688674e-17
cvae,8,42,0,subject34,reduced,9,0.23086419753086418,0.401288916182188,0.08275816103155365,0.0
cvae,8,42,0,subject35,original,11,0.23537702607470046,0.5245867854664037,0.09238646445799903,5.551115123125783e-17
cvae,8,42,0,subject35,reduced,9,0.23277347114556413,0.49733576716465366,0.09460717320540568,0.0
cvae,8,43,0,subject05,original,11,0.247979797979798,0.288949419541241,0.053640150889093574,7.632783294297951e-17
cvae,8,43,0,subject05,reduced,9,0.24537037037037035,0.271929141545145,0.05997037207222289,0.0
cvae,8,43,0,subject13,original,11,0.18964646464646465,0.16744561409428105,0.022866407236462605,8.326672684688674e-17
cvae,8,43,0,subject13,reduced,9,0.18148148148148147,0.13897575423439834,0.025126590967793794,0.0
cvae,8,43,0,subject19,original,11,0.20025252525252527,0.20562173763530378,0.0353766105933504,8.326672684688674e-17
cvae,8,43,0,subject19,reduced,9,0.19999999999999998,0.1794965319700461,0.03542824977615555,0.0
cvae,8,43,0,subject24,original,11,0.15025252525252528,0.11963669926297182,0.010789276731818953,8.326672684688674e-17
cvae,8,43,0,subject24,reduced,9,0.15401234567901234,0.10078456689446735,0.011187767901475132,0.0
cvae,8,43,0,subject27,original,11,0.25126262626262624,0.4384040702400891,0.08310499156743179,8.326672684688674e-17
cvae,8,43,0,subject27,reduced,9,0.2722222222222222,0.4730503797238259,0.1023931764506083,0.0
cvae,8,43,0,subject34,original,11,0.20732323232323233,0.2903742092107482,0.04886903714966062,8.326672684688674e-17
cvae,8,43,0,subject34,reduced,9,0.20864197530864198,0.26919170616320187,0.052623408937769955,0.0
