model_family,latent_dim,fold,subject,feature_view,mean_ks,energy_distance,mmd_rbf
cvae,8,2,subject04,reduced,0.14835390946502058,0.11252030877700066,0.016906243541071175
cvae,8,2,subject10,original,0.20176767676767673,0.23873395482008775,0.04077108414755415
cvae,8,2,subject10,reduced,0.1993827160493827,0.18238515651749396,0.03458726811714027
cvae,8,2,subject12,original,0.23762626262626263,0.5227505815600079,0.09639372374129322
cvae,8,2,subject12,reduced,0.22633744855967078,0.4466506273418605,0.0967264789912164
cvae,8,2,subject15,original,0.20473555782544542,0.25049997964739745,0.04092438743579981
cvae,8,2,subject15,reduced,0.18254959078929114,0.13923896532401217,0.023486705255073865
cvae,8,2,subject21,original,0.2956228956228956,0.533826303401276,0.09792619212650722
cvae,8,2,subject21,reduced,0.2682098765432099,0.3412576986121101,0.06808428074907151
cvae,8,2,subject36,original,0.13956228956228955,0.11422132549788255,0.013449451858955444
cvae,8,2,subject36,reduced,0.14526748971193415,0.1165245915389616,0.017577964352326985
cvae,8,3,subject02,original,0.31262626262626264,0.9551138057137661,0.17515869838794187
cvae,8,3,subject02,reduced,0.26944444444444443,0.4802853017060606,0.10403233818451696
cvae,8,3,subject11,original,0.21363636363636362,0.6441167245979537,0.10947442929589124
cvae,8,3,subject11,reduced,0.2198559670781893,0.6746739018994887,0.13250835667476465
cvae,8,3,subject22,original,0.2029461279461279,0.3114319240202604,0.05989380618548279
cvae,8,3,subject22,reduced,0.20401234567901236,0.2993883014217557,0.06289885157354073
cvae,8,3,subject30,original,0.1606902356902357,0.181837079207359,0.02620717190459047
cvae,8,3,subject30,reduced,0.17304526748971194,0.19847116457317218,0.03674070809190274
cvae,8,3,subject33,original,0.16294765840220385,0.17201847134204185,0.02280345183348224
cvae,8,3,subject33,reduced,0.16770482603815937,0.15200387533150797,0.022847068614456473
cvae,8,3,subject37,original,0.22659932659932658,0.4273065217809083,0.06844777220492866
cvae,8,3,subject37,reduced,0.2353909465020576,0.41486527380447163,0.07768870806222701
cvae,8,3,subject40,original,0.19537037037037033,0.27585357773335284,0.040407285927545424
cvae,8,3,subject40,reduced,0.20462962962962963,0.26947774530963403,0.04853927479462735
spline_pca,3,0,subject05,original,0.3138888888888889,0.8630668029173432,0.21234349470826097
spline_pca,3,0,subject05,reduced,0.3287037037037037,0.7776482321136915,0.2209204385496074
spline_pca,3,0,subject13,original,0.21767676767676772,0.4325527808606653,0.1038775976439017
spline_pca,3,0,subject13,reduced,0.22098765432098766,0.33735595746638625,0.0929634406377331
spline_pca,3,0,subject19,original,0.23989898989898994,0.5483185388309133,0.10245916596518279
spline_pca,3,0,subject19,reduced,0.2512345679012346,0.48742766551875283,0.12761001295388907
spline_pca,3,0,subject24,original,0.19545454545454544,0.19049181401372284,0.029988777723009785
spline_pca,3,0,subject24,reduced,0.20401234567901236,0.1836585309794163,0.036082022889926124
spline_pca,3,0,subject27,original,0.380050505050505,1.3006688903498795,0.2962597576880852
spline_pca,3,0,subject27,reduced,0.3962962962962963,1.2551893421960747,0.31806206877558063
spline_pca,3,0,subject34,original,0.351010101010101,0.8498842976536811,0.19263020937331266
spline_pca,3,0,subject34,reduced,0.3462962962962963,0.688824418514669,0.17261460867995326
spline_pca,3,0,subject35,original,0.27919309372797746,0.5905657441643033,0.10736823945079321
spline_pca,3,0,subject35,reduced,0.31442721791559003,0.604243791114742,0.12716019702622694
spline_pca,3,1,subject08,original,0.5555555555555557,4.659246991509759,0.689194396596945
spline_pca,3,1,subject08,reduced,0.5685185185185184,4.697334732999321,0.6827529634993144
spline_pca,3,1,subject18,original,0.395959595959596,1.2965744581602698,0.25124039771525697
spline_pca,3,1,subject18,reduced,0.4274691358024691,1.335032281456051,0.28357578537252326
spline_pca,3,1,subject23,original,0.2866161616161616,0.5409351508233335,0.11548595402937312
spline_pca,3,1,subject23,reduced,0.26049382716049385,0.30745742697297995,0.06682700398752184
spline_pca,3,1,subject25,original,0.36287878787878786,1.050859164952818,0.1958268932146936
spline_pca,3,1,subject25,reduced,0.38858024691358023,1.0439417434848375,0.20685374827006509
spline_pca,3,1,subject26,original,0.38282828282828285,1.532559046565634,0.2387521778422136
spline_pca,3,1,subject26,reduced,0.34413580246913583,1.2644478777373016,0.2214596182680988
spline_pca,3,1,subject41,original,0.39329836829836834,1.7073258814630332,0.1978517498741854
spline_pca,3,1,subject41,reduced,0.37849002849002855,1.5495648852789645,0.18031417637912317
spline_pca,3,1,subject43,original,0.30681818181818177,0.5276439457200941,0.11652505204700159
spline_pca,3,1,subject43,reduced,0.31080246913580245,0.4535466574252287,0.11268549316713639
spline_pca,3,2,subject01,original,0.3303030303030303,0.7517088523903745,0.1537801931193986
spline_pca,3,2,subject01,reduced,0.2861111111111111,0.3991066262323786,0.08311272953867843
spline_pca,3,2,subject04,original,0.2785353535353535,0.47604100237920743,0.11145841339425677
spline_pca,3,2,subject04,reduced,0.2660493827160494,0.3119146255023155,0.07059862271425654
spline_pca,3,2,subject10,original,0.303030303030303,0.5888774277594075,0.13594973710338953
spline_pca,3,2,subject10,reduced,0.2824074074074074,0.3764752929731272,0.09368407567312897
spline_pca,3,2,subject12,original,0.3247474747474748,0.7574790743881055,0.15527469838456265
spline_pca,3,2,subject12,reduced,0.345679012345679,0.7400249155196068,0.17163440621968096
spline_pca,3,2,subject15,original,0.28419305413687435,0.5153607986719297,0.11254901481526469
spline_pca,3,2,subject15,reduced,0.2869434040782355,0.36692119154357394,0.08200358657807683
