fold,feature_a,feature_b,pooled_rho,median_within_rho
3,peak_speed_tracker_units_s,end_x,0.03851778166529727,0.1565830221097359
3,peak_speed_tracker_units_s,end_y,-0.13242574791429765,-0.01999831902196868
3,time_to_peak_speed,path_length,-0.023808223834853415,0.06579125314327183
3,time_to_peak_speed,straight_line_dist,0.020454719303758664,0.0885107655773735
3,time_to_peak_speed,curvature_index,-0.13401723839900279,0.02765047882760894
3,time_to_peak_speed,max_lateral_deviation,-0.1367369770377178,0.061004293044418206
3,time_to_peak_speed,n_submovements,-0.04982548700812964,-0.026035482052511157
3,time_to_peak_speed,end_x,-0.026545019700151076,-0.015895164419847587
3,time_to_peak_speed,end_y,0.03441375090763301,0.08026720455134513
3,path_length,straight_line_dist,0.9625651182683708,0.9655314390767813
3,path_length,curvature_index,0.2925497087449604,0.23394549214481927
3,path_length,max_lateral_deviation,0.302439081519023,0.2610183441875778
3,path_length,n_submovements,0.08927732138559842,0.12874232262686236
3,path_length,end_x,0.15358395542138034,0.10634278835766536
3,path_length,end_y,0.9627421595502227,0.9638845061701469
3,straight_line_dist,curvature_index,0.11158736881339563,0.04300955790816589
3,straight_line_dist,max_lateral_deviation,0.15793770062081214,0.0829963887774314
3,straight_line_dist,n_submovements,0.03706743957547229,0.06432675209026768
3,straight_line_dist,end_x,0.1511360554957331,0.09936109139170962
3,straight_line_dist,end_y,0.9971468381692002,0.9964869332329002
3,curvature_index,max_lateral_deviation,0.8814091037190094,0.8560299517603859
3,curvature_index,n_submovements,0.16446467032762319,0.12874232262686236
3,curvature_index,end_x,0.09612988688387049,0.1006430239616449
3,curvature_index,end_y,0.1198536315411347,0.05037319701442389
3,max_lateral_deviation,n_submovements,0.0731456652538936,0.09709616510964479
3,max_lateral_deviation,end_x,0.1297915155464246,0.07074683300547169
3,max_lateral_deviation,end_y,0.15894941863207582,0.09127647972674054
3,n_submovements,end_x,0.007205170016301239,-0.00917175593216527
3,n_submovements,end_y,0.04704608380677832,0.06432675209026768
3,end_x,end_y,0.14389461395401057,0.09224358776505448
