dim,model_a,model_b,metric,fold,mean_b_minus_a
8,cvae,conditional_ae,trajectory_mse,2,-0.005595904570827434
8,cvae,conditional_ae,trajectory_mse,3,-0.007241680568547548
8,cvae,conditional_ae,movement_time_mae_ms,0,-1.1538710360522761
8,cvae,conditional_ae,movement_time_mae_ms,1,2.306176890185866
8,cvae,conditional_ae,movement_time_mae_ms,2,-0.2082767648132509
8,cvae,conditional_ae,movement_time_mae_ms,3,-6.9264618815182795
8,cvae,conditional_ae,initiation_time_mae_ms,0,0.051935495899704066
8,cvae,conditional_ae,initiation_time_mae_ms,1,2.242007970686288
8,cvae,conditional_ae,initiation_time_mae_ms,2,5.4253037090793015
8,cvae,conditional_ae,initiation_time_mae_ms,3,12.42149092611265
8,cvae,conditional_ae,mean_ks,0,0.06115865185632629
8,cvae,conditional_ae,mean_ks,1,-0.0006863506863506967
8,cvae,conditional_ae,mean_ks,2,0.05674116769622389
8,cvae,conditional_ae,mean_ks,3,0.03991538764266037
8,cvae,conditional_ae,ks_n_submovements,0,0.01984126984126982
8,cvae,conditional_ae,ks_n_submovements,1,-0.010582010582010585
8,cvae,conditional_ae,ks_n_submovements,2,0.018915343915343906
8,cvae,conditional_ae,ks_n_submovements,3,0.008766233766233771
8,cvae,conditional_ae,energy_distance,0,0.33998109038335106
8,cvae,conditional_ae,energy_distance,1,-0.046472905112084115
8,cvae,conditional_ae,energy_distance,2,0.26755939249588817
8,cvae,conditional_ae,energy_distance,3,0.19802468315454577
8,cvae,conditional_ae,mmd_rbf,0,0.07382710441186695
8,cvae,conditional_ae,mmd_rbf,1,-0.002342753260693196
8,cvae,conditional_ae,mmd_rbf,2,0.060094238212355884
8,cvae,conditional_ae,mmd_rbf,3,0.042986960674191485
8,cvae,unconditional_vae,trajectory_mse,0,0.0004611110397297829
8,cvae,unconditional_vae,trajectory_mse,1,0.0018649736819976875
8,cvae,unconditional_vae,trajectory_mse,2,-0.00241379476535312
8,cvae,unconditional_vae,trajectory_mse,3,0.0041108063677275175
8,cvae,unconditional_vae,movement_time_mae_ms,0,-1.8071381914587004
8,cvae,unconditional_vae,movement_time_mae_ms,1,2.5637556458379374
8,cvae,unconditional_vae,movement_time_mae_ms,2,-0.7504724220984832
8,cvae,unconditional_vae,movement_time_mae_ms,3,-7.835721596326602
8,cvae,unconditional_vae,initiation_time_mae_ms,0,1.460830253887517
8,cvae,unconditional_vae,initiation_time_mae_ms,1,-0.30700178291406793
8,cvae,unconditional_vae,initiation_time_mae_ms,2,-0.19515655122563352
8,cvae,unconditional_vae,initiation_time_mae_ms,3,3.623516616059997
8,cvae,unconditional_vae,mean_ks,0,-0.006852299294159758
8,cvae,unconditional_vae,mean_ks,1,-0.00044585044585043754
8,cvae,unconditional_vae,mean_ks,2,-0.007536439839810624
8,cvae,unconditional_vae,mean_ks,3,-0.002296777296777301
8,cvae,unconditional_vae,ks_n_submovements,0,0.005555555555555549
8,cvae,unconditional_vae,ks_n_submovements,1,-0.0005291005291005137
8,cvae,unconditional_vae,ks_n_submovements,2,0.0019841269841269914
8,cvae,unconditional_vae,ks_n_submovements,3,-0.005519480519480529
8,cvae,unconditional_vae,energy_distance,0,-0.00629870391314462
8,cvae,unconditional_vae,energy_distance,1,-0.032195753291115195
8,cvae,unconditional_vae,energy_distance,2,-0.00827048485531015
8,cvae,unconditional_vae,energy_distance,3,-0.03098196104242548
8,cvae,unconditional_vae,mmd_rbf,0,-0.0006240211550086881
8,cvae,unconditional_vae,mmd_rbf,1,-0.005997816515161296
8,cvae,unconditional_vae,mmd_rbf,2,-0.001324479863902229
8,cvae,unconditional_vae,mmd_rbf,3,-0.006502168089159256
8,cvae,spline_pca,trajectory_mse,0,-0.007733529714608203
8,cvae,spline_pca,trajectory_mse,1,-0.003014878182037105
8,cvae,spline_pca,trajectory_mse,2,-0.0055114332118780624
8,cvae,spline_pca,trajectory_mse,3,-0.022575370385387362
8,cvae,spline_pca,movement_time_mae_ms,0,8.039070233765013
8,cvae,spline_pca,movement_time_mae_ms,1,10.718895312534453
8,cvae,spline_pca,movement_time_mae_ms,2,10.27072032059328
8,cvae,spline_pca,movement_time_mae_ms,3,-4.848691155381288
8,cvae,spline_pca,initiation_time_mae_ms,0,19.553045297404257
8,cvae,spline_pca,initiation_time_mae_ms,1,23.671235978576025
8,cvae,spline_pca,initiation_time_mae_ms,2,27.21681179782389
8,cvae,spline_pca,initiation_time_mae_ms,3,12.544803263408491
8,cvae,spline_pca,mean_ks,0,0.053478863943980236
8,cvae,spline_pca,mean_ks,1,0.030863580863580854
8,cvae,spline_pca,mean_ks,2,0.027135993428128287
8,cvae,spline_pca,mean_ks,3,0.030083300537845973
8,cvae,spline_pca,ks_n_submovements,0,0.11296296296296296
8,cvae,spline_pca,ks_n_submovements,1,-0.004497354497354475
8,cvae,spline_pca,ks_n_submovements,2,0.07685185185185187
8,cvae,spline_pca,ks_n_submovements,3,0.09375901875901878
8,cvae,spline_pca,energy_distance,0,0.47354498620604696
8,cvae,spline_pca,energy_distance,1,0.3508933294037263
8,cvae,spline_pca,energy_distance,2,0.18066250269606746
8,cvae,spline_pca,energy_distance,3,0.21195256008778252
8,cvae,spline_pca,mmd_rbf,0,0.0825650199604916
8,cvae,spline_pca,mmd_rbf,1,0.038329277693941455
8,cvae,spline_pca,mmd_rbf,2,0.04292585056830735
8,cvae,spline_pca,mmd_rbf,3,0.027368691333337646
8,cvae,condition_ridge,trajectory_mse,0,0.940027125449021
8,cvae,condition_ridge,trajectory_mse,1,1.4665862784871224
8,cvae,condition_ridge,trajectory_mse,2,1.1384500753424156
8,cvae,condition_ridge,trajectory_mse,3,1.260192584057268
8,cvae,condition_ridge,movement_time_mae_ms,0,30.43618115238217
8,cvae,condition_ridge,movement_time_mae_ms,1,37.1447191942741
8,cvae,condition_ridge,movement_time_mae_ms,2,34.02623727826799
8,cvae,condition_ridge,movement_time_mae_ms,3,12.637880892146674
8,cvae,condition_ridge,initiation_time_mae_ms,0,83.07503622717499
8,cvae,condition_ridge,initiation_time_mae_ms,1,50.58384432111956
8,cvae,condition_ridge,initiation_time_mae_ms,2,69.29201575997638
8,cvae,condition_ridge,initiation_time_mae_ms,3,51.659462412855575
8,cvae,condition_ridge,mean_ks,0,0.0710725751423426
8,cvae,condition_ridge,mean_ks,1,0.0500989750989751
8,cvae,condition_ridge,mean_ks,2,0.06042541520069611
8,cvae,condition_ridge,mean_ks,3,0.0498447680265862
8,cvae,condition_ridge,ks_n_submovements,0,0.024735449735449715
8,cvae,condition_ridge,ks_n_submovements,1,0.006084656084656077
8,cvae,condition_ridge,ks_n_submovements,2,0.00013227513227512553
8,cvae,condition_ridge,ks_n_submovements,3,0.011976911976911985
8,cvae,condition_ridge,energy_distance,0,0.40107427738338863
8,cvae,condition_ridge,energy_distance,1,0.5484840707495576
8,cvae,condition_ridge,energy_distance,2,0.3352563485705735
8,cvae,condition_ridge,energy_distance,3,0.26826785276104675
8,cvae,condition_ridge,mmd_rbf,0,0.07843446330024133
8,cvae,condition_ridge,mmd_rbf,1,0.05718434695370861
8,cvae,condition_ridge,mmd_rbf,2,0.06079022442074381
8,cvae,condition_ridge,mmd_rbf,3,0.037032174342682724
8,conditional_ae,unconditional_vae,trajectory_mse,0,0.004346172990714119
8,conditional_ae,unconditional_vae,trajectory_mse,1,0.011195948225138672
8,conditional_ae,unconditional_vae,trajectory_mse,2,0.003182109805474314
8,conditional_ae,unconditional_vae,trajectory_mse,3,0.011352486936275065
8,conditional_ae,unconditional_vae,movement_time_mae_ms,0,-0.6532671554064243
8,conditional_ae,unconditional_vae,movement_time_mae_ms,1,0.2575787556520715
8,conditional_ae,unconditional_vae,movement_time_mae_ms,2,-0.5421956572852322
8,conditional_ae,unconditional_vae,movement_time_mae_ms,3,-0.9092597148083225
8,conditional_ae,unconditional_vae,initiation_time_mae_ms,0,1.408894757987813
8,conditional_ae,unconditional_vae,initiation_time_mae_ms,1,-2.5490097536003558
8,conditional_ae,unconditional_vae,initiation_time_mae_ms,2,-5.620460260304936
8,conditional_ae,unconditional_vae,initiation_time_mae_ms,3,-8.797974310052654
8,conditional_ae,unconditional_vae,mean_ks,0,-0.06801095115048604
