run,family,dim,fold,seed,epoch,epochs_run,checkpoint_sha256,max_timing_error,max_mse_error,encoder_swap_change,decoder_swap_change,encoder_condition0_gradient,decoder_condition0_gradient,encoder_condition1_gradient,decoder_condition1_gradient,encoder_condition2_gradient,decoder_condition2_gradient,encoder_condition3_gradient,decoder_condition3_gradient,encoder_condition4_gradient,decoder_condition4_gradient
cvae\fold1\cvae_z3_seed44,cvae,3,1,44,63,88,fac9930fa3967e8ec91438095e84bb95f93368bfbb9d651e73949e8b30692343,2.9127502410020156e-08,2.3184204067661085e-07,0.13730943202972412,0.6648409366607666,1.0231685638427734,100.38274383544922,1.0369648933410645,71.15784454345703,1.479415774345398,76.04396057128906,1.6757060289382935,73.08761596679688,1.3951259851455688,95.24532318115234
cvae\fold1\cvae_z4_seed42,cvae,4,1,42,66,91,0098fcc9aa3c8ad07f9d8a05fb321a50299a8dd6567cab0a109f6b74949a3df2,2.7644348143951447e-08,9.674072298793135e-08,0.08178055286407471,0.6197290420532227,0.7977322936058044,259.6106262207031,0.6152323484420776,236.19007873535156,0.6706613898277283,87.01179504394531,0.6584789752960205,135.06236267089844,0.8486323952674866,116.95921325683594
cvae\fold1\cvae_z4_seed43,cvae,4,1,43,46,71,8f073b95039776848018649ae43a33536efd8d55094e995340bf855b606d7f2c,4.619598392707758e-08,2.4951171795351e-07,0.08576619625091553,0.4238702058792114,0.5419488549232483,183.64614868164062,0.7892181873321533,124.49300384521484,0.7501436471939087,80.13079833984375,0.6782059073448181,98.20905303955078,0.8296065926551819,97.50473022460938
cvae\fold1\cvae_z4_seed44,cvae,4,1,44,34,59,55e961502300732bbfc99e5521f491740d71203b7d63d4c8384923dec70dadc3,3.9482116687139523e-08,4.6704101563932454e-07,0.14185428619384766,0.3775840997695923,0.6660522818565369,88.42792510986328,0.8247789740562439,31.55224609375,0.709151029586792,67.46817779541016,0.6567885279655457,56.850059509277344,0.539962887763977,35.956871032714844
cvae\fold1\cvae_z8_seed42,cvae,8,1,42,59,84,e6f95c4205e277fbd016bbd214e4938a8f712b7418054b61231e1a1a929b818a,3.378143320631466e-08,2.580108637850742e-08,0.15554022789001465,0.33265313506126404,1.7131891250610352,190.22425842285156,1.7666056156158447,153.39456176757812,2.0466620922088623,189.97669982910156,0.8993706703186035,61.41911315917969,2.6905031204223633,173.63536071777344
cvae\fold1\cvae_z8_seed43,cvae,8,1,43,84,109,18216e16a5342d15197a35bc529c6382a9b0a95e66f6fbdc463b0d06e7926420,4.143981935378349e-08,4.209594717252685e-08,0.2299332618713379,0.34395790100097656,1.294724702835083,198.9549102783203,2.207533836364746,275.7091979980469,1.4842349290847778,253.21910095214844,1.3271490335464478,75.79780578613281,1.7625583410263062,269.0953063964844
cvae\fold1\cvae_z8_seed44,cvae,8,1,44,77,102,16c170efef329660f04e6e498bd7a3ae36dee361b91c492b2844fed085c5c783,4.649353035901527e-08,4.924774166248369e-08,0.20221954584121704,0.39880460500717163,1.9620530605316162,276.9910583496094,1.8270909786224365,293.1441345214844,2.8381805419921875,298.2552490234375,1.24049973487854,75.05189514160156,2.8653745651245117,262.9831237792969
cvae\fold2\cvae_z2_seed42,cvae,2,2,42,83,108,0d727a2eaf48ee6deaaea73350c342e7542fd784bd52012ce99fdf52628529c1,4.500122074979629e-08,3.1707763703536784e-07,0.18533697724342346,0.8833238482475281,0.6943771839141846,175.49856567382812,0.3908824920654297,28.457435607910156,0.955877423286438,69.11139678955078,0.16466699540615082,135.33578491210938,0.9787790775299072,198.7584228515625
cvae\fold2\cvae_z2_seed43,cvae,2,2,43,64,89,bc942a7b40ff3992918a5408132002c9a886339577896f8678e22b7f925328d4,2.779617314097038e-08,4.6392822206087203e-07,0.1186322569847107,0.6402907967567444,0.5044845938682556,69.17997741699219,0.2287549376487732,59.683650970458984,1.0570266246795654,70.10137939453125,0.12705154716968536,29.122821807861328,1.0285847187042236,70.18991088867188
cvae\fold2\cvae_z2_seed44,cvae,2,2,44,53,78,25b9864caa0d07a2e378fea5cf5824b766dae6c79b35971c07f90d6ab6476af4,2.980194091506405e-08,2.1246337844615937e-07,0.17933212220668793,0.6000193357467651,0.24989928305149078,86.63127899169922,0.11781954020261765,48.358062744140625,0.29044994711875916,37.80274963378906,0.16571810841560364,69.2417221069336,0.2565751075744629,53.56541061401367
cvae\fold2\cvae_z3_seed42,cvae,3,2,42,61,86,785bbee8d38d8559fb9b1f8b95bd7ecca746d7f1dde41f5538963ec1a003e1d3,3.4295654316451873e-08,4.110717775063222e-07,0.25760310888290405,0.5945971012115479,0.16357722878456116,46.78774642944336,0.30496281385421753,65.64451599121094,0.26416078209877014,21.540855407714844,0.2905588448047638,21.51764678955078,0.2796059846878052,40.245513916015625
cvae\fold2\cvae_z3_seed43,cvae,3,2,43,64,89,507f6fee4b17a75d2758386f71a14edf1a483ab86df237f8381b8057a4cec43c,5.4603576549183686e-08,1.9842529308533585e-07,0.22104710340499878,0.5698619484901428,0.1435369998216629,37.91037368774414,0.3231668472290039,38.40052795410156,0.25962361693382263,24.51495933532715,0.2232486754655838,30.99083709716797,0.2795863449573517,37.45233154296875
