check,passed,detail
conditional_ae\fold0\conditional_ae_z8_seed42/condition gradients,True,"{'encoder_condition0_gradient': 2.733112096786499, 'decoder_condition0_gradient': 12.82497501373291, 'encoder_condition1_gradient': 2.061112403869629, 'decoder_condition1_gradient': 5.622314453125, 'encoder_condition2_gradient': 1.4346997737884521, 'decoder_condition2_gradient': 9.264067649841309, 'encoder_condition3_gradient': 0.8997513055801392, 'decoder_condition3_gradient': 5.690632343292236, 'encoder_condition4_gradient': 2.155536651611328, 'decoder_condition4_gradient': 9.058809280395508}"
conditional_ae\fold0\conditional_ae_z8_seed42/condition swap behaviour,True,
conditional_ae\fold0\conditional_ae_z8_seed43/effective flags,True,
conditional_ae\fold0\conditional_ae_z8_seed43/train_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed43/train_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed43/timing_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed43/timing_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed43/validation objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold0\conditional_ae_z8_seed43/selected epoch,True,
conditional_ae\fold0\conditional_ae_z8_seed43/KL schedule,True,max_abs_error=0.0; atol=1e-12; rtol=0
conditional_ae\fold0\conditional_ae_z8_seed43/saved objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold0\conditional_ae_z8_seed43/independent encoder,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed43/prediction IDs,True,
conditional_ae\fold0\conditional_ae_z8_seed43/true timing,True,max_abs_error=2.6930236707300992e-08; atol=1e-07; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed43/independent timing predictions,True,max_abs_error=2.7288055370888742e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold0\conditional_ae_z8_seed43/independent trajectory MSE,True,max_abs_error=2.9133605972120336e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold0\conditional_ae_z8_seed43/independent decoder trajectory,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed43/independent decoder timing,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed43/timing withheld,True,max_abs_error=0.0; atol=0; rtol=0
conditional_ae\fold0\conditional_ae_z8_seed43/variational sampling behaviour,True,
conditional_ae\fold0\conditional_ae_z8_seed43/condition gradients,True,"{'encoder_condition0_gradient': 1.934695839881897, 'decoder_condition0_gradient': 5.490275859832764, 'encoder_condition1_gradient': 1.2355486154556274, 'decoder_condition1_gradient': 8.52536392211914, 'encoder_condition2_gradient': 1.6836003065109253, 'decoder_condition2_gradient': 6.02903938293457, 'encoder_condition3_gradient': 1.2003556489944458, 'decoder_condition3_gradient': 6.760913372039795, 'encoder_condition4_gradient': 1.6910897493362427, 'decoder_condition4_gradient': 9.519729614257812}"
conditional_ae\fold0\conditional_ae_z8_seed43/condition swap behaviour,True,
conditional_ae\fold0\conditional_ae_z8_seed44/effective flags,True,
conditional_ae\fold0\conditional_ae_z8_seed44/train_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed44/train_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed44/timing_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed44/timing_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed44/validation objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold0\conditional_ae_z8_seed44/selected epoch,True,
conditional_ae\fold0\conditional_ae_z8_seed44/KL schedule,True,max_abs_error=0.0; atol=1e-12; rtol=0
conditional_ae\fold0\conditional_ae_z8_seed44/saved objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold0\conditional_ae_z8_seed44/independent encoder,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed44/prediction IDs,True,
conditional_ae\fold0\conditional_ae_z8_seed44/true timing,True,max_abs_error=2.6930236707300992e-08; atol=1e-07; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed44/independent timing predictions,True,max_abs_error=1.486892697855069e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold0\conditional_ae_z8_seed44/independent trajectory MSE,True,max_abs_error=2.400207521624509e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold0\conditional_ae_z8_seed44/independent decoder trajectory,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed44/independent decoder timing,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed44/timing withheld,True,max_abs_error=0.0; atol=0; rtol=0
conditional_ae\fold0\conditional_ae_z8_seed44/variational sampling behaviour,True,
conditional_ae\fold0\conditional_ae_z8_seed44/condition gradients,True,"{'encoder_condition0_gradient': 1.2208510637283325, 'decoder_condition0_gradient': 2.9079883098602295, 'encoder_condition1_gradient': 1.3035814762115479, 'decoder_condition1_gradient': 4.473834037780762, 'encoder_condition2_gradient': 1.5284535884857178, 'decoder_condition2_gradient': 6.828362941741943, 'encoder_condition3_gradient': 2.33420467376709, 'decoder_condition3_gradient': 11.502609252929688, 'encoder_condition4_gradient': 1.344136118888855, 'decoder_condition4_gradient': 5.2564826011657715}"
conditional_ae\fold0\conditional_ae_z8_seed44/condition swap behaviour,True,
conditional_ae\fold1\conditional_ae_z3_seed42/effective flags,True,
conditional_ae\fold1\conditional_ae_z3_seed42/train_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed42/train_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed42/timing_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed42/timing_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed42/validation objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold1\conditional_ae_z3_seed42/selected epoch,True,
conditional_ae\fold1\conditional_ae_z3_seed42/KL schedule,True,max_abs_error=0.0; atol=1e-12; rtol=0
conditional_ae\fold1\conditional_ae_z3_seed42/saved objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold1\conditional_ae_z3_seed42/independent encoder,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed42/prediction IDs,True,
conditional_ae\fold1\conditional_ae_z3_seed42/true timing,True,max_abs_error=4.922790530770271e-08; atol=1e-07; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed42/independent timing predictions,True,max_abs_error=2.977447510765785e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold1\conditional_ae_z3_seed42/independent trajectory MSE,True,max_abs_error=1.3546752963833342e-07; atol=2e-06; rtol=2e-05
conditional_ae\fold1\conditional_ae_z3_seed42/independent decoder trajectory,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed42/independent decoder timing,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed42/timing withheld,True,max_abs_error=0.0; atol=0; rtol=0
conditional_ae\fold1\conditional_ae_z3_seed42/variational sampling behaviour,True,
conditional_ae\fold1\conditional_ae_z3_seed42/condition gradients,True,"{'encoder_condition0_gradient': 7.30595064163208, 'decoder_condition0_gradient': 58.17009735107422, 'encoder_condition1_gradient': 6.450103759765625, 'decoder_condition1_gradient': 110.76000213623047, 'encoder_condition2_gradient': 4.089961528778076, 'decoder_condition2_gradient': 166.2531280517578, 'encoder_condition3_gradient': 5.0250773429870605, 'decoder_condition3_gradient': 121.31123352050781, 'encoder_condition4_gradient': 9.943902969360352, 'decoder_condition4_gradient': 192.77220153808594}"
conditional_ae\fold1\conditional_ae_z3_seed42/condition swap behaviour,True,
conditional_ae\fold1\conditional_ae_z3_seed43/effective flags,True,
conditional_ae\fold1\conditional_ae_z3_seed43/train_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed43/train_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed43/timing_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed43/timing_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed43/validation objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold1\conditional_ae_z3_seed43/selected epoch,True,
conditional_ae\fold1\conditional_ae_z3_seed43/KL schedule,True,max_abs_error=0.0; atol=1e-12; rtol=0
conditional_ae\fold1\conditional_ae_z3_seed43/saved objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold1\conditional_ae_z3_seed43/independent encoder,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed43/prediction IDs,True,
conditional_ae\fold1\conditional_ae_z3_seed43/true timing,True,max_abs_error=4.922790530770271e-08; atol=1e-07; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed43/independent timing predictions,True,max_abs_error=4.792175301027157e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold1\conditional_ae_z3_seed43/independent trajectory MSE,True,max_abs_error=4.0698242109726834e-07; atol=2e-06; rtol=2e-05
conditional_ae\fold1\conditional_ae_z3_seed43/independent decoder trajectory,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed43/independent decoder timing,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed43/timing withheld,True,max_abs_error=0.0; atol=0; rtol=0
conditional_ae\fold1\conditional_ae_z3_seed43/variational sampling behaviour,True,
