geometry,latent_dim,metric,model_a,model_b,n,mean_a,mean_b,mean_b_minus_a,a_better_n,p,q_bh_80,p_holm_80
axis_balanced,8,energy,spline_pca,unconditional_vae,28,0.09116703582478507,0.056852120392423176,-0.03431491543236188,3,4.76837158203125e-06,1.3623918805803572e-05,0.00025272369384765625
axis_balanced,8,energy,spline_pca,condition_ridge,28,0.09116703582478507,0.24876983325607133,0.15760279743128622,26,5.21540641784668e-08,8.344650268554688e-07,4.06801700592041e-06
axis_balanced,8,energy,cvae,conditional_ae,28,0.05943498316316459,0.08656175708674531,0.02712677392358071,21,1.765042543411255e-05,4.278891014330315e-05,0.0008648708462715149
axis_balanced,8,energy,cvae,unconditional_vae,28,0.05943498316316459,0.056852120392423176,-0.002582862770741395,12,0.2450956031680107,0.2841688152672588,1.0
axis_balanced,8,energy,cvae,condition_ridge,28,0.05943498316316459,0.24876983325607133,0.18933485009290676,26,3.725290298461914e-08,8.344650268554688e-07,2.942979335784912e-06
axis_balanced,8,energy,conditional_ae,unconditional_vae,28,0.08656175708674531,0.056852120392423176,-0.02970963669432211,5,7.964670658111572e-06,2.1971505263756063e-05,0.00041416287422180176
axis_balanced,8,energy,conditional_ae,condition_ridge,28,0.08656175708674531,0.24876983325607133,0.16220807616932603,25,1.862645149230957e-07,1.4901161193847656e-06,1.3224780559539795e-05
axis_balanced,8,energy,unconditional_vae,condition_ridge,28,0.056852120392423176,0.24876983325607133,0.19191771286364814,27,1.4901161193847656e-08,8.344650268554688e-07,1.1920928955078125e-06
axis_balanced,8,mmd2,spline_pca,cvae,28,0.054454164748046055,0.027013203138606966,-0.02744096160943909,5,2.380460500717163e-05,5.289912223815918e-05,0.0011188164353370667
axis_balanced,8,mmd2,spline_pca,conditional_ae,28,0.054454164748046055,0.053059600065052843,-0.001394564682993208,15,0.7621389999985695,0.8022515789458625,1.0
axis_balanced,8,mmd2,spline_pca,unconditional_vae,28,0.054454164748046055,0.024336465362999955,-0.030117699385046104,3,1.5422701835632324e-06,5.608255212957209e-06,9.253621101379395e-05
axis_balanced,8,mmd2,spline_pca,condition_ridge,28,0.054454164748046055,0.11598824402904931,0.061534079281003275,20,3.663450479507446e-05,7.712527325278833e-05,0.001575283706188202
axis_balanced,8,mmd2,cvae,conditional_ae,28,0.027013203138606966,0.053059600065052843,0.02604639692644588,23,3.993511199951172e-06,1.1832625777633101e-05,0.00021964311599731445
axis_balanced,8,mmd2,cvae,unconditional_vae,28,0.027013203138606966,0.024336465362999955,-0.0026767377756070137,11,0.10417398810386658,0.13662162374277584,1.0
axis_balanced,8,mmd2,cvae,condition_ridge,28,0.027013203138606966,0.11598824402904931,0.08897504089044236,25,6.556510925292969e-07,3.0854169060202206e-06,4.26173210144043e-05
axis_balanced,8,mmd2,conditional_ae,unconditional_vae,28,0.053059600065052843,0.024336465362999955,-0.02872313470205289,3,1.259148120880127e-06,5.036592483520508e-06,7.680803537368774e-05
axis_balanced,8,mmd2,conditional_ae,condition_ridge,28,0.053059600065052843,0.11598824402904931,0.06292864396399647,24,3.17990779876709e-05,6.875476321658573e-05,0.0013991594314575195
axis_balanced,8,mmd2,unconditional_vae,condition_ridge,28,0.024336465362999955,0.11598824402904931,0.09165177866604937,26,7.450580596923828e-08,9.934107462565105e-07,5.587935447692871e-06
